,Regione,Introiti_2014,Introiti_2015,Introiti_2016,Introiti_2017,Introiti_2018,Introiti_2019,Introiti_2020,Introiti_2021,Introiti_2022,Introiti_2023,Introiti_2024
0,ABRUZZO,"61.642,00","70.532,00","144.988,00","118.299,00","146.490,00","166.313,00","113.900,00","112.670,00","267.494,00","293.534,00","412.475,00"
1,BASILICATA,"135.802,50","186.339,50","201.068,00","197.857,75","219.145,25","268.357,75","130.156,25","160.133,00","229.306,00","300.444,00","428.448,00"
2,CALABRIA,"477.460,00","408.853,00","826.893,50","922.318,50","920.820,00","830.624,00","350.858,00","615.850,00","946.060,00","1.132.969,00","1.394.737,00"
3,CAMPANIA,"31.364.258,37","35.485.065,23","40.165.583,52","45.322.835,41","58.015.681,19","60.214.623,62","11.537.616,60","21.000.421,22","53.499.304,93","74.230.512,96","80.316.519,46"
4,EMILIA ROMAGNA,"1.576.305,50","1.760.796,50","2.219.286,25","2.602.786,00","2.859.961,60","3.190.301,86","1.229.433,56","1.988.934,02","2.942.267,66","3.238.546,38","3.406.107,04"
5,FRIULI-VENEZIA GIULIA,"786.722,00","1.151.233,50","1.456.039,00","1.765.735,00","1.725.868,50","1.596.536,50","645.008,50","947.056,50","1.760.810,50","2.458.941,50","2.881.182,00"
6,LAZIO,"58.153.039,00","62.911.364,50","67.616.298,00","75.849.708,00","84.317.158,50","87.338.260,50","16.540.368,00","28.068.765,50","90.491.113,00","120.495.222,00","154.764.990,00"
7,LIGURIA,"142.429,40","182.674,90","390.503,55","433.861,50","463.885,80","420.896,80","132.542,10","144.478,50","499.228,00","703.071,50","784.053,80"
8,LOMBARDIA,"5.003.515,20","5.986.736,50","7.993.159,35","9.194.753,90","9.503.485,45","10.447.982,70","2.911.571,60","5.098.833,20","11.343.755,40","13.010.511,50","14.178.965,90"
9,MARCHE,"901.488,50","986.158,50","1.356.043,50","1.422.302,25","1.902.582,00","2.185.658,50","1.036.188,50","1.273.583,00","1.749.433,50","1.764.104,00","2.243.382,00"
10,MOLISE,"26.039,00","28.464,00","48.693,50","75.943,00","92.029,00","94.393,00","103.941,00","110.734,00","132.020,00","156.499,00","319.349,00"
11,PIEMONTE,"6.709.213,90","10.931.980,29","13.367.382,44","13.414.330,03","13.352.880,96","13.113.004,27","3.747.064,25","6.175.643,65","12.944.397,62","16.058.406,99","15.581.675,30"
12,PUGLIA,"825.313,00","1.190.167,25","1.396.514,75","1.576.480,50","1.841.963,00","1.801.071,00","386.438,00","794.298,00","1.899.834,00","2.324.717,00","2.919.301,00"
13,SARDEGNA,"1.149.698,50","1.233.460,00","1.412.742,50","1.609.809,50","1.569.103,50","1.551.457,50","513.672,50","966.153,50","1.643.337,00","1.976.033,60","2.156.586,10"
14,TOSCANA,"25.231.128,00","29.902.126,25","31.085.537,75","35.472.108,50","48.969.049,00","55.180.157,70","11.849.965,90","19.325.643,70","49.929.892,35","71.192.030,10","94.811.132,90"
16,UMBRIA,"419.804,95","467.004,66","567.165,19","544.629,48","668.290,32","701.186,25","360.622,72","262.533,21","705.362,50","1.336.876,50","1.197.004,25"
17,VENETO,"2.546.841,92","2.611.458,31","3.192.844,96","3.392.006,76","3.062.704,87","3.309.806,34","993.750,08","1.586.471,12","3.607.516,32","3.215.743,68","4.208.435,99"
