;"Direzione Generale Bilancio 
Servizio III
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2014;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Introiti Lordi*;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;3.265,00;2.336,00;3.025,00;6.360,00;4.970,00;3.470,00;6.846,00;14.349,00;7.601,00;4.767,00;2.878,00;1.775,00;61.642,00;
BASILICATA;2.879,25;1.913,00;4.438,25;14.709,75;7.694,00;8.045,50;11.498,00;30.568,00;18.285,00;20.333,75;8.581,50;6.856,50;135.802,50;
CALABRIA;28.459,00;11.571,00;16.685,00;32.132,00;26.166,00;36.092,00;56.087,00;138.621,00;67.370,00;34.561,00;14.731,00;14.985,00;477.460,00;
CAMPANIA;824.685,55;691.149,15;1.323.414,82;2.964.816,06;3.645.917,33;3.645.640,74;3.860.557,91;4.206.565,34;4.225.661,92;3.611.200,56;1.266.480,06;1.098.168,93;31.364.258,37;
EMILIA ROMAGNA;66.420,00;40.486,00;80.877,00;206.968,00;164.062,50;135.093,00;149.246,50;241.265,50;201.583,00;159.974,00;69.696,50;60.633,50;1.576.305,50;
FRIULI-VENEZIA GIULIA;18.384,00;13.501,00;29.806,00;74.809,50;69.964,00;65.030,50;77.876,50;162.536,50;126.406,00;82.291,00;26.549,50;39.567,50;786.722,00;
LAZIO;2.368.483,00;2.516.890,50;3.981.397,50;5.486.976,00;6.250.457,00;5.988.366,00;6.197.594,00;6.536.311,50;6.314.010,00;6.159.579,00;3.368.932,50;2.984.042,00;58.153.039,00;
LIGURIA;7.581,15;4.652,10;8.066,35;15.144,35;14.369,95;11.625,00;15.303,75;22.828,85;18.527,90;12.171,70;6.361,20;5.797,10;142.429,40;
LOMBARDIA;277.744,75;243.778,25;328.964,25;485.202,00;449.051,00;437.643,15;517.512,45;661.732,65;546.297,25;458.045,60;316.680,25;280.863,60;5.003.515,20;
MARCHE;27.146,00;17.536,50;37.851,00;95.700,50;65.522,00;72.787,50;117.381,50;188.237,00;120.952,00;65.313,00;37.224,50;55.837,00;901.488,50;
MOLISE;979,00;658,00;1.027,50;3.036,00;2.052,50;2.284,50;2.590,00;8.241,50;2.067,00;1.706,50;835,50;561,00;26.039,00;
PIEMONTE;408.932,25;196.759,25;465.239,10;953.549,00;816.001,25;646.142,37;429.118,20;743.858,03;524.173,95;499.980,90;461.335,50;564.124,10;6.709.213,90;
PUGLIA;20.805,50;13.518,50;29.199,50;104.100,00;82.727,00;82.354,50;75.846,50;143.112,00;137.204,75;88.968,25;26.339,75;21.136,75;825.313,00;
SARDEGNA;9.834,50;6.604,50;29.750,50;115.353,00;121.224,00;113.957,75;198.105,50;257.668,50;183.953,00;75.196,25;22.300,00;15.751,00;1.149.698,50;
TOSCANA;1.045.977,00;968.563,25;1.565.241,75;2.443.928,75;2.819.984,50;2.602.677,75;2.867.064,00;2.906.447,75;2.711.880,50;2.533.217,50;1.470.484,00;1.295.661,25;25.231.128,00;
UMBRIA;14.040,08;9.259,13;18.895,33;49.739,41;41.521,41;34.643,30;49.243,99;82.920,94;53.338,61;36.011,53;15.042,90;15.148,32;419.804,95;
VENETO;116.263,54;120.769,36;181.529,15;268.821,85;271.088,60;223.192,20;224.420,38;271.951,82;306.779,14;291.100,36;140.480,52;130.444,99;2.546.841,92;
Totale complessivo;5.241.879,57;4.859.945,49;8.105.408,00;13.321.346,17;14.852.773,04;14.109.045,76;14.856.292,18;16.617.215,88;15.566.091,02;14.134.417,90;7.254.933,18;6.591.353,54;135.510.701,74;
;;;;;;;;;;;;;;
*  Al lordo dell'eventuale aggio spettante al Concessionario del servizio di biglietteria, ove presente.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
