,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI-VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,TOSCANA,UMBRIA,VENETO,Totale complessivo
Gennaio_2014,"3.265,00","2.879,25","28.459,00","824.685,55","66.420,00","18.384,00","2.368.483,00","7.581,15","277.744,75","27.146,00","979,00","408.932,25","20.805,50","9.834,50","1.045.977,00","14.040,08","116.263,54","5.241.879,57"
Febbraio_2014,"2.336,00","1.913,00","11.571,00","691.149,15","40.486,00","13.501,00","2.516.890,50","4.652,10","243.778,25","17.536,50","658,00","196.759,25","13.518,50","6.604,50","968.563,25","9.259,13","120.769,36","4.859.945,49"
Marzo_2014,"3.025,00","4.438,25","16.685,00","1.323.414,82","80.877,00","29.806,00","3.981.397,50","8.066,35","328.964,25","37.851,00","1.027,50","465.239,10","29.199,50","29.750,50","1.565.241,75","18.895,33","181.529,15","8.105.408,00"
Aprile_2014,"6.360,00","14.709,75","32.132,00","2.964.816,06","206.968,00","74.809,50","5.486.976,00","15.144,35","485.202,00","95.700,50","3.036,00","953.549,00","104.100,00","115.353,00","2.443.928,75","49.739,41","268.821,85","13.321.346,17"
Maggio_2014,"4.970,00","7.694,00","26.166,00","3.645.917,33","164.062,50","69.964,00","6.250.457,00","14.369,95","449.051,00","65.522,00","2.052,50","816.001,25","82.727,00","121.224,00","2.819.984,50","41.521,41","271.088,60","14.852.773,04"
Giugno_2014,"3.470,00","8.045,50","36.092,00","3.645.640,74","135.093,00","65.030,50","5.988.366,00","11.625,00","437.643,15","72.787,50","2.284,50","646.142,37","82.354,50","113.957,75","2.602.677,75","34.643,30","223.192,20","14.109.045,76"
Luglio_2014,"6.846,00","11.498,00","56.087,00","3.860.557,91","149.246,50","77.876,50","6.197.594,00","15.303,75","517.512,45","117.381,50","2.590,00","429.118,20","75.846,50","198.105,50","2.867.064,00","49.243,99","224.420,38","14.856.292,18"
Agosto_2014,"14.349,00","30.568,00","138.621,00","4.206.565,34","241.265,50","162.536,50","6.536.311,50","22.828,85","661.732,65","188.237,00","8.241,50","743.858,03","143.112,00","257.668,50","2.906.447,75","82.920,94","271.951,82","16.617.215,88"
Settembre_2014,"7.601,00","18.285,00","67.370,00","4.225.661,92","201.583,00","126.406,00","6.314.010,00","18.527,90","546.297,25","120.952,00","2.067,00","524.173,95","137.204,75","183.953,00","2.711.880,50","53.338,61","306.779,14","15.566.091,02"
Ottobre_2014,"4.767,00","20.333,75","34.561,00","3.611.200,56","159.974,00","82.291,00","6.159.579,00","12.171,70","458.045,60","65.313,00","1.706,50","499.980,90","88.968,25","75.196,25","2.533.217,50","36.011,53","291.100,36","14.134.417,90"
Novembre_2014,"2.878,00","8.581,50","14.731,00","1.266.480,06","69.696,50","26.549,50","3.368.932,50","6.361,20","316.680,25","37.224,50","835,50","461.335,50","26.339,75","22.300,00","1.470.484,00","15.042,90","140.480,52","7.254.933,18"
