Regione,Fondi_2014,Introiti_2014,Fondi_2015,Introiti_2015,Fondi_2016,Introiti_2016,Fondi_2017,Introiti_2017,Fondi_2018,Introiti_2018,Fondi_2019,Introiti_2019,Fondi_2020,Introiti_2020,Fondi_2021,Introiti_2021,Fondi_2022,Introiti_2022,Fondi_2023,Introiti_2023,Fondi_2024,Introiti_2024
ABRUZZO,4422271.94,61642.0,13362229.05,70532.0,55552000.14,144988.0,14210568.1,118299.0,18579464.48,146490.0,7274627.26,166313.0,4781430.93,113900.0,3459923.35,112670.0,8055260.68,267494.0,855168.81,293534.0,4782465.08,412475.0
BASILICATA,12259948.23,135802.5,4702406.31,186339.5,47671799.83,201068.0,40959077.31,197857.75,36632806.6,219145.25,30690167.27,268357.75,12074839.52,130156.25,5625670.52,160133.0,8389892.34,229306.0,7632916.31,300444.0,1546340.13,428448.0
CALABRIA,401325.23,477460.0,,408853.0,49351661.69,826893.5,39330676.23,922318.5,69259081.82,920820.0,72736765.65,830624.0,34696845.46,350858.0,70436070.95,615850.0,64687179.43,946060.0,6142398.38,1132969.0,1624975.0,1394737.0
CAMPANIA,23855986.76,31364258.37,27845016.67,35485065.23,455851924.93,40165583.52,155400226.64,45322835.41,110749839.59,58015681.19,133344507.06,60214623.62,86190847.92,11537616.6,86428063.35,21000421.22,404341661.6,53499304.93,49859456.73,74230512.96,59099313.64,80316519.46
EMILIA ROMAGNA,70000.0,1576305.5,28740000.0,1760796.5,87273726.09,2219286.25,50183572.78,2602786.0,68419763.27,2859961.6,21025150.55,3190301.86,5988277.02,1229433.56,3860239.1,1988934.02,1464786.42,2942267.66,349609.9,3238546.38,,3406107.04
FRIULI-VENEZIA GIULIA,,786722.0,1025973.07,1151233.5,561891.45,1456039.0,7079137.37,1765735.0,53656838.44,1725868.5,5384450.74,1596536.5,1576555.44,645008.5,,947056.5,3338350.27,1760810.5,,2458941.5,,2881182.0
LAZIO,,58153039.0,,62911364.5,103110769.99,67616298.0,594798.45,75849708.0,31220245.06,84317158.5,54262232.01,87338260.5,3433682.81,16540368.0,27253141.23,28068765.5,26384045.98,90491113.0,,120495222.0,,154764990.0
LIGURIA,711935.95,142429.4,1853274.24,182674.9,24962793.0,390503.55,75000.0,433861.5,20058365.86,463885.8,7633348.19,420896.8,884261.04,132542.1,,144478.5,,499228.0,205000.0,703071.5,3400000.0,784053.8
LOMBARDIA,,5003515.2,308520.95,5986736.5,32732652.99,7993159.35,28393953.08,9194753.9,32509398.38,9503485.45,8234411.86,10447982.7,350661.23,2911571.6,429478.4,5098833.2,1465528.59,11343755.4,62460978.3,13010511.5,358000.0,14178965.9
MARCHE,5385727.69,901488.5,1691044.58,986158.5,3358956.85,1356043.5,623306.2,1422302.25,30703966.21,1902582.0,9723854.96,2185658.5,7574916.48,1036188.5,9559277.62,1273583.0,980617.92,1749433.5,4851723.49,1764104.0,,2243382.0
MOLISE,1504285.65,26039.0,1668958.8,28464.0,1513504.0,48693.5,3520399.68,75943.0,11005663.76,92029.0,146296695.71,94393.0,18633704.34,103941.0,4910333.6,110734.0,6644771.37,132020.0,807562.38,156499.0,226000.0,319349.0
PIEMONTE,2265549.86,6709213.9,6406684.1,10931980.29,49070203.34,13367382.44,34140576.58,13414330.03,11959454.98,13352880.96,14279265.98,13113004.27,3981610.78,3747064.25,9453862.53,6175643.65,14487800.84,12944397.62,3924584.47,16058406.99,10848814.1,15581675.3
PUGLIA,262773262.21,825313.0,30495377.67,1190167.25,74791527.91,1396514.75,60773984.7,1576480.5,117828067.58,1841963.0,67750976.78,1801071.0,44120761.98,386438.0,18640478.88,794298.0,22689601.49,1899834.0,6082738.1,2324717.0,10764064.0,2919301.0
SARDEGNA,604226.0,1149698.5,882700.0,1233460.0,10731886.02,1412742.5,39366127.99,1609809.5,27325140.25,1569103.5,31841739.7,1551457.5,12153103.82,513672.5,4540751.78,966153.5,13874650.43,1643337.0,5508761.0,1976033.6,2424882.5,2156586.1
SICILIA,15452665.23,,52448545.3,,165701368.09,,33685113.88,,28765567.78,,90787686.82,,106584900.11,,45561716.65,,61115739.23,,14900842.76,,11162818.5,
TOSCANA,52906226.71,25231128.0,190491970.67,29902126.25,14424996.61,31085537.75,122173313.89,35472108.5,34321691.17,48969049.0,10823520.92,55180157.7,419235.43,11849965.9,852053.0,19325643.7,21804984.53,49929892.35,11815981.22,71192030.1,10640677.53,94811132.9
TRENTINO-ALTO ADIGE/SÜDTIROL,,,3810666.0,,1124657.54,,1000000.0,,93082.0,,1659499.52,,446974.82,,40000.0,,,,,,,
UMBRIA,5462178.16,419804.95,3994971.07,467004.66,11127459.41,567165.19,13773391.56,544629.48,8450638.77,668290.32,4068455.62,701186.25,11331805.47,360622.72,8585074.27,262533.21,5616693.98,705362.5,4302466.69,1336876.5,,1197004.25
VALLE D'AOSTA,,,315000.0,,6386027.49,,13301363.52,,9015925.74,,799104.0,,,,,,,,,,,
VENETO,19721272.66,2546841.92,24932502.06,2611458.31,15929508.57,3192844.96,4522683.56,3392006.76,9646276.92,3062704.87,9600773.36,3309806.34,1740283.28,993750.08,180986.5,1586471.12,163009.3,3607516.32,129355.0,3215743.68,2000000.0,4208435.99
