Regione,Indice_2015,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
"'Valle d""'Aosta / Vallée d""'Aoste'",1.19,0.97,1.05,1.37,1.38,1.45
Abruzzo,0.22,0.11,0.14,0.16,0.16,0.17
Basilicata,0.18,0.18,0.23,0.18,0.18,0.13
Calabria,0.52,0.31,0.28,0.25,0.3,0.24
Campania,3.36,4.24,3.61,3.11,3.58,3.46
Emilia-Romagna,1.12,1.09,1.15,0.97,1.21,1.16
Friuli-Venezia Giulia,1.44,1.37,1.41,1.36,1.51,1.19
Lazio,6.43,6.25,7.2,4.31,4.09,6.13
Liguria,1.36,1.14,1.09,0.68,0.79,0.91
Lombardia,1.67,1.53,1.61,1.25,1.57,1.55
Marche,0.89,0.65,0.81,0.94,0.83,0.6
Molise,0.2,0.1,0.14,0.25,0.19,0.12
Piemonte,1.19,1.17,1.08,1.05,1.18,1.11
Puglia,0.28,0.31,0.29,0.2,0.27,0.23
Sardegna,0.31,0.35,0.37,0.31,0.39,0.32
Sicilia,0.91,1.13,0.97,0.86,1.0,0.88
Toscana,4.46,3.92,3.94,3.35,3.28,3.28
Trentino Alto Adige / Südtirol,1.14,1.13,1.01,1.16,1.19,0.89
Umbria,0.89,0.81,0.65,0.87,1.4,0.92
Veneto,2.16,2.4,2.0,1.49,1.82,1.93
