;"Direzione Generale Bilancio 
Servizio III
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2014;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;6.122;5.605;13.076;21.496;24.086;14.814;15.708;29.538;13.796;7.676;8.026;8.161;168.104;
BASILICATA;4.181;5.491;11.560;30.553;33.920;16.020;16.916;38.564;21.426;23.668;11.148;13.955;227.402;
CALABRIA;16.976;13.454;28.421;47.039;60.602;34.308;36.701;74.094;36.059;22.214;14.712;17.054;401.634;
CAMPANIA;197.190;202.937;416.848;802.855;921.493;642.453;663.763;771.878;731.274;660.805;296.330;288.718;6.596.544;
EMILIA ROMAGNA;36.377;29.683;70.014;162.044;146.706;68.435;62.426;88.176;87.574;77.637;43.748;43.710;916.530;
FRIULI-VENEZIA GIULIA;18.550;16.985;98.857;148.327;164.710;145.374;139.979;161.377;143.154;118.585;83.442;55.852;1.295.192;
LAZIO;865.763;916.680;1.379.306;1.977.764;1.999.835;1.642.572;1.842.467;2.034.451;1.810.140;1.850.029;1.064.787;1.132.047;18.515.841;
LIGURIA;5.415;4.787;13.308;15.971;21.267;9.809;12.341;16.305;15.774;8.089;4.564;6.324;133.954;
LOMBARDIA;67.115;63.906;112.345;191.948;195.425;126.917;139.471;176.332;149.080;121.067;79.851;76.959;1.500.416;
MARCHE;13.144;10.628;33.341;75.658;63.481;37.014;49.317;75.781;45.566;26.234;19.911;27.621;477.696;
MOLISE;1.894;1.913;3.945;13.443;14.584;5.565;6.097;14.958;5.260;4.903;2.824;3.426;78.812;
PIEMONTE;111.967;69.131;142.107;253.492;270.117;143.154;105.531;162.526;131.440;110.951;102.978;124.858;1.728.252;
PUGLIA;13.324;11.348;32.020;87.587;111.596;44.072;40.362;73.132;59.470;36.053;24.827;19.991;553.782;
SARDEGNA;5.076;4.379;18.264;46.792;71.860;43.401;64.900;80.826;58.652;29.141;11.842;11.266;446.399;
TOSCANA;282.604;297.647;516.217;753.184;766.530;637.233;702.371;708.006;619.578;580.436;346.621;337.228;6.547.655;
UMBRIA;7.975;7.770;17.179;33.473;32.411;18.710;21.939;39.967;21.998;16.854;10.832;13.045;242.153;
VENETO;41.233;45.624;85.082;107.840;106.962;77.313;76.448;92.398;91.485;86.977;51.837;51.198;914.397;
Totale complessivo;1.694.906;1.707.968;2.991.890;4.769.466;5.005.585;3.707.164;3.996.737;4.638.309;4.041.726;3.781.319;2.178.280;2.231.413;40.744.763;
;;;;;;;;;;;;;;
