;"Direzione generale Bilancio 
Servizio I
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2023;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Introiti Lordi*;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;10.418,00;7.964,00;11.064,00;37.430,00;19.249,00;17.628,00;28.892,00;84.540,00;26.163,00;18.362,00;7.894,00;23.930,00;293.534,00;
BASILICATA;10.345,50;5.757,50;9.928,00;25.855,50;24.277,50;20.221,50;20.902,50;52.671,00;34.188,00;41.992,00;23.143,00;31.162,00;300.444,00;
CALABRIA;31.264,00;18.774,00;35.362,00;89.754,00;103.195,00;113.833,00;123.871,00;291.570,00;165.555,00;96.714,00;29.996,00;33.081,00;1.132.969,00;
CAMPANIA;2.528.791,43;2.182.689,04;3.924.260,13;7.972.053,76;8.758.064,74;8.230.202,05;7.883.229,36;8.564.092,87;9.178.584,14;8.834.549,59;3.293.024,83;2.880.971,02;74.230.512,96;
EMILIA ROMAGNA;228.546,60;149.825,48;219.752,42;500.234,46;270.045,64;231.320,38;204.016,34;311.613,46;322.054,30;321.859,04;213.583,50;265.694,76;3.238.546,38;
FRIULI-VENEZIA GIULIA;93.653,50;80.305,50;110.217,00;305.548,00;259.281,00;240.654,50;273.180,50;366.821,50;289.510,00;224.057,50;84.731,00;130.981,50;2.458.941,50;
LAZIO;5.746.248,50;7.461.868,00;9.748.461,50;11.784.948,50;12.034.741,50;11.963.056,50;12.003.611,50;12.508.572,50;12.448.892,00;10.553.468,50;6.983.636,50;7.257.716,50;120.495.222,00;
LIGURIA;41.472,00;31.827,00;38.562,00;86.897,50;70.816,00;61.672,00;69.325,00;101.979,00;72.988,00;56.343,00;32.462,00;38.728,00;703.071,50;
LOMBARDIA;918.189,50;801.169,50;1.000.025,50;1.309.442,50;1.198.344,00;1.121.178,00;1.151.959,00;1.264.437,00;1.248.881,00;1.160.647,50;867.707,00;968.531,00;13.010.511,50;
MARCHE;90.270,00;50.543,00;79.044,00;242.043,00;121.042,00;152.632,00;171.468,00;312.340,00;204.149,00;136.014,00;74.603,00;129.956,00;1.764.104,00;
MOLISE;4.230,00;2.263,00;4.423,00;15.887,00;14.179,00;14.471,00;14.880,00;41.018,00;18.662,00;11.945,00;4.798,00;9.743,00;156.499,00;
PIEMONTE;1.342.910,14;981.779,17;1.159.011,43;2.278.894,81;1.423.836,48;1.096.581,48;991.947,96;1.436.786,75;1.082.466,86;1.462.760,05;1.318.662,31;1.482.769,55;16.058.406,99;
PUGLIA;74.125,00;54.422,00;111.121,00;263.174,00;235.809,00;241.355,00;191.240,00;329.116,00;356.275,00;294.188,00;76.156,00;97.736,00;2.324.717,00;
SARDEGNA;32.146,50;24.355,00;39.081,50;181.505,50;225.181,90;232.812,30;267.298,00;372.565,40;347.870,60;182.144,40;37.821,50;33.251,00;1.976.033,60;
TOSCANA;2.713.211,15;2.534.356,15;4.904.431,55;7.694.333,90;8.275.097,70;7.582.678,00;7.124.226,95;7.333.109,90;8.178.344,70;7.712.278,05;3.523.459,20;3.616.502,85;71.192.030,10;
UMBRIA;48.954,50;23.447,00;101.829,50;230.539,75;252.328,00;165.957,75;91.748,50;148.296,50;97.973,75;79.577,00;38.333,25;57.891,00;1.336.876,50;
VENETO;165.907,02;181.589,09;248.412,00;369.354,56;345.237,12;257.951,41;203.026,09;235.103,70;361.142,98;397.838,20;254.245,55;195.935,96;3.215.743,68;
Totale complessivo;14.080.683,34;14.592.934,43;21.744.986,53;33.387.896,74;33.630.725,58;31.744.204,87;30.814.822,70;33.754.633,58;34.433.700,33;31.584.737,83;16.864.256,64;17.254.581,14;313.888.163,71;
;;;;;;;;;;;;;;
*  Al lordo dell'eventuale aggio spettante al Concessionario del servizio di biglietteria, ove presente.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
