Regione,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022,Indice_2023
"'Valle d""'Aosta / Vallée d""'Aoste'",868,857,859,843,755,669,536,650,961,789
Abruzzo,2195,2177,2191,2209,2340,2502,1758,2315,2638,2690
Basilicata,1457,1340,1085,1125,1184,1111,801,1210,1219,1135
Calabria,1985,1964,1826,1777,1812,1646,1249,1614,1794,2071
Campania,2365,2212,2171,2140,2012,1903,1585,2113,1691,2142
Emilia-Romagna,2691,2719,2664,2783,2789,2811,2280,2807,2841,2764
Friuli-Venezia Giulia,4154,4112,4206,4120,4125,4164,3260,4082,4416,4434
Lazio,7133,7002,7172,6587,6469,6370,5567,7455,7049,6639
Liguria,4090,4186,4195,4178,4350,4231,3243,4287,4270,4219
Lombardia,10085,10989,10457,10349,10411,10886,9109,11447,11244,11104
Marche,2287,2091,2119,2119,2158,2220,1668,2121,2092,2015
Molise,797,799,805,881,823,774,383,387,577,768
Piemonte,4537,5084,5042,5197,5026,5037,3634,3373,3650,3551
Puglia,2172,2152,2313,2282,2152,1952,1518,2168,2274,2160
Sardegna,3168,2946,3250,3256,3264,3411,2424,3488,3726,3406
Sicilia,1758,1662,1718,1834,1817,1723,1306,1493,1639,1704
Toscana,2652,2720,2735,2741,2827,3106,2181,2836,3032,3156
Trentino Alto Adige / Südtirol,3576,3522,3677,3688,3834,3833,3287,4040,4180,3871
Umbria,1961,1952,2038,2094,1808,1814,1376,1841,1853,1856
Veneto,5253,5177,5339,5447,5421,5392,4367,5166,5289,5144
